Acanthamoebidae	Acanthamoeba	unclassified_Acanthamoeba
Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Dipodascaceae	Galactomyces
Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Dipodascaceae	Galactomyces
Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Dipodascaceae	Galactomyces
Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Dipodascaceae	Galactomyces
Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Dipodascaceae	Galactomyces
Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Dipodascaceae	Galactomyces
Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Dipodascaceae	Galactomyces
Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Pichia
Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Pichia
Fungi	Dikarya	Ascomycota	environmental_samples
Fungi	Dikarya	Ascomycota	environmental_samples
Fungi	Dikarya	Ascomycota	mitosporic Ascomycota	Engyodontium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Strophariaceae	Pholiota
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
